Order,Family
Struthioniformes,Struthionidae
Rheiformes,Rheidae
Tinamiformes,Tinamidae
Casuariiformes,Casuariidae
Apterygiformes,Apterygidae
Anseriformes,Anhimidae
Anseriformes,Anseranatidae
Anseriformes,Anatidae
Galliformes,Megapodiidae
Galliformes,Cracidae
Galliformes,Numididae
Galliformes,Odontophoridae
Galliformes,Phasianidae
Gaviiformes,Gaviidae
Podicipediformes,Podicipedidae
Phoenicopteriformes,Phoenicopteridae
Sphenisciformes,Spheniscidae
Procellariiformes,Diomedeidae
Procellariiformes,Procellariidae
Procellariiformes,Hydrobatidae
Phaethontiformes,Phaethontidae
Ciconiiformes,Ciconiidae
Suliformes,Fregatidae
Suliformes,Sulidae
Suliformes,Phalacrocoracidae
Suliformes,Anhingidae
Pelecaniformes,Pelecanidae
Pelecaniformes,Balaenicipitidae
Pelecaniformes,Scopidae
Pelecaniformes,Ardeidae
Pelecaniformes,Threskiornithidae
Accipitriformes,Cathartidae
Accipitriformes,Sagittariidae
Accipitriformes,Pandionidae
Accipitriformes,Accipitridae
Otidiformes,Otididae
Mesitornithiformes,Mesitornithidae
Eurypygiformes,Rhynochetidae
Eurypygiformes,Eurypygidae
Gruiformes,Rallidae
Gruiformes,Sarothruridae
Gruiformes,Heliornithidae
Gruiformes,Aramidae
Gruiformes,Psophiidae
Gruiformes,Gruidae
Charadriiformes,Chionidae
Charadriiformes,Pluvianellidae
Charadriiformes,Burhinidae
Charadriiformes,Pluvianidae
Charadriiformes,Recurvirostridae
Charadriiformes,Ibidorhynchidae
Charadriiformes,Haematopodidae
Charadriiformes,Charadriidae
Charadriiformes,Pedionomidae
Charadriiformes,Thinocoridae
Charadriiformes,Rostratulidae
Charadriiformes,Jacanidae
Charadriiformes,Scolopacidae
Charadriiformes,Turnicidae
Charadriiformes,Dromadidae
Charadriiformes,Glareolidae
Charadriiformes,Stercorariidae
Charadriiformes,Alcidae
Charadriiformes,Laridae
Pterocliformes,Pteroclidae
Columbiformes,Columbidae
Opisthocomiformes,Opisthocomidae
Cuculiformes,Musophagidae
Cuculiformes,Cuculidae
Strigiformes,Tytonidae
Strigiformes,Strigidae
Caprimulgiformes,Podargidae
Caprimulgiformes,Caprimulgidae
Caprimulgiformes,Nyctibiidae
Caprimulgiformes,Steatornithidae
Caprimulgiformes,Aegothelidae
Caprimulgiformes,Apodidae
Caprimulgiformes,Hemiprocnidae
Caprimulgiformes,Trochilidae
Coliiformes,Coliidae
Leptosomiformes,Leptosomidae
Trogoniformes,Trogonidae
Bucerotiformes,Upupidae
Bucerotiformes,Phoeniculidae
Bucerotiformes,Bucorvidae
Bucerotiformes,Bucerotidae
Coraciiformes,Todidae
Coraciiformes,Momotidae
Coraciiformes,Alcedinidae
Coraciiformes,Meropidae
Coraciiformes,Coraciidae
Coraciiformes,Brachypteraciidae
Galbuliformes,Bucconidae
Galbuliformes,Galbulidae
Piciformes,Lybiidae
Piciformes,Megalaimidae
Piciformes,Capitonidae
Piciformes,Semnornithidae
Piciformes,Ramphastidae
Piciformes,Indicatoridae
Piciformes,Picidae
Cariamiformes,Cariamidae
Falconiformes,Falconidae
Psittaciformes,Strigopidae
Psittaciformes,Cacatuidae
Psittaciformes,Psittaculidae
Psittaciformes,Psittacidae
Passeriformes,Acanthisittidae
Passeriformes,Calyptomenidae
Passeriformes,Eurylaimidae
Passeriformes,Sapayoidae
Passeriformes,Philepittidae
Passeriformes,Pittidae
Passeriformes,Thamnophilidae
Passeriformes,Melanopareiidae
Passeriformes,Conopophagidae
Passeriformes,Grallariidae
Passeriformes,Rhinocryptidae
Passeriformes,Formicariidae
Passeriformes,Furnariidae
Passeriformes,Tyrannidae
Passeriformes,Oxyruncidae
Passeriformes,Cotingidae
Passeriformes,Pipridae
Passeriformes,Tityridae
Passeriformes,Menuridae
Passeriformes,Atrichornithidae
Passeriformes,Ptilonorhynchidae
Passeriformes,Climacteridae
Passeriformes,Maluridae
Passeriformes,Meliphagidae
Passeriformes,Dasyornithidae
Passeriformes,Pardalotidae
Passeriformes,Acanthizidae
Passeriformes,Pomatostomidae
Passeriformes,Orthonychidae
Passeriformes,Cnemophilidae
Passeriformes,Melanocharitidae
Passeriformes,Mohouidae
Passeriformes,Paramythiidae
Passeriformes,Callaeidae
Passeriformes,Notiomystidae
Passeriformes,Psophodidae
Passeriformes,Cinclosomatidae
Passeriformes,Platysteiridae
Passeriformes,Vangidae
Passeriformes,Malaconotidae
Passeriformes,Machaerirhynchidae
Passeriformes,Artamidae
Passeriformes,Cracticidae
Passeriformes,Pityriaseidae
Passeriformes,Aegithinidae
Passeriformes,Campephagidae
Passeriformes,Neosittidae
Passeriformes,Eulacestomatidae
Passeriformes,Falcunculidae
Passeriformes,Pachycephalidae
Passeriformes,Rhagologidae
Passeriformes,Oreoicidae
Passeriformes,Laniidae
Passeriformes,Vireonidae
Passeriformes,Oriolidae
Passeriformes,Dicruridae
Passeriformes,Rhipiduridae
Passeriformes,Ifritidae
Passeriformes,Monarchidae
Passeriformes,Corvidae
Passeriformes,Corcoracidae
Passeriformes,Paradisaeidae
Passeriformes,Melampittidae
Passeriformes,Petroicidae
Passeriformes,Picathartidae
Passeriformes,Chaetopidae
Passeriformes,Eupetidae
Passeriformes,Panuridae
Passeriformes,Nicatoridae
Passeriformes,Alaudidae
Passeriformes,Hirundinidae
Passeriformes,Stenostiridae
Passeriformes,Paridae
Passeriformes,Remizidae
Passeriformes,Aegithalidae
Passeriformes,Sittidae
Passeriformes,Tichodromidae
Passeriformes,Certhiidae
Passeriformes,Troglodytidae
Passeriformes,Polioptilidae
Passeriformes,Cinclidae
Passeriformes,Pycnonotidae
Passeriformes,Regulidae
Passeriformes,Pnoepygidae
Passeriformes,Macrosphenidae
Passeriformes,Cettiidae
Passeriformes,Phylloscopidae
Passeriformes,Acrocephalidae
Passeriformes,Locustellidae
Passeriformes,Donacobiidae
Passeriformes,Bernieridae
Passeriformes,Cisticolidae
Passeriformes,Sylviidae
Passeriformes,Paradoxornithidae
Passeriformes,Zosteropidae
Passeriformes,Timaliidae
Passeriformes,Pellorneidae
Passeriformes,Leiothrichidae
Passeriformes,Promeropidae
Passeriformes,Irenidae
Passeriformes,Hyliotidae
Passeriformes,Muscicapidae
Passeriformes,Turdidae
Passeriformes,Mimidae
Passeriformes,Sturnidae
Passeriformes,Buphagidae
Passeriformes,Chloropseidae
Passeriformes,Dicaeidae
Passeriformes,Nectariniidae
Passeriformes,Prunellidae
Passeriformes,Motacillidae
Passeriformes,Urocynchramidae
Passeriformes,Elachuridae
Passeriformes,Bombycillidae
Passeriformes,Mohoidae
Passeriformes,Ptiliogonatidae
Passeriformes,Dulidae
Passeriformes,Hylocitreidae
Passeriformes,Hypocoliidae
Passeriformes,Peucedramidae
Passeriformes,Calcariidae
Passeriformes,Parulidae
Passeriformes,Thraupidae
Passeriformes,Emberizidae
Passeriformes,Cardinalidae
Passeriformes,Icteridae
Passeriformes,Fringillidae
Passeriformes,Passeridae
Passeriformes,Ploceidae
Passeriformes,Estrildidae
Passeriformes,Viduidae
