"kingdom","phylum","class","order","family","genus","species","n"
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Culicidae","g:Aedes","s:Aedes tahoensis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Culicidae","g:Aedes","s:Aedes vexans",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Dolichopodidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Keroplatidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Muscidae","g:Helina","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Muscidae","g:Potamia","s:Potamia littoralis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Phoridae","g:Pseudacteon","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Phoridae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Psychodidae","g:Pressatia","s:Pressatia choti",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Rhagionidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Sciaridae","g:Cratyna","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Simuliidae","g:Simulium","s:Simulium emarginatum",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Simuliidae","g:Simulium","s:Simulium fontinale",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Syrphidae","g:Syrphus","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tabanidae","g:Hybomitra","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tabanidae","g:Hybomitra","s:Hybomitra trepida",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tachinidae","g:Billaea","s:Billaea nipigonensis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tachinidae","g:Periscepsia","s:Periscepsia clesides",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tipulidae","g:Nephrotoma","s:Nephrotoma ferruginea",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tipulidae","g:Tipula","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tipulidae","g:Tipula","s:Tipula limbata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Ephemeroptera","f:Heptageniidae","g:Leucrocuta","s:Leucrocuta maculipennis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Aphis","s:Aphis asclepiadis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Aphis","s:Aphis holodisci",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Cinara","s:Cinara lyallii",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Cinara","s:Cinara pseudotaxifoliae",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Cinara","s:Cinara schwarzii",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Macrosiphum","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","g:Mindarus","s:Mindarus obliquus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphididae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Aphrophoridae","g:Aphrophora","s:Aphrophora fulva",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Cicadellidae","g:Koebelia","s:Koebelia inyoensis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Cicadidae","g:Cystosoma","s:Cystosoma nr saundersii",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Miridae","g:Pilophorus","s:Pilophorus diffusus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","f:Rhyparochromidae","g:Plinthisus","s:Plinthisus brevipennis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Apidae","g:Apis","s:Apis mellifera",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Braconidae","g:Aspilota","s:Aspilota albertica",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Braconidae","g:Glyptapanteles","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Braconidae","g:Lysiphlebus","s:Lysiphlebus testaceipes",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Braconidae","g:Pauesia","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Braconidae","g:Wroughtonia","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Aphaenogaster","s:Aphaenogaster occidentalis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Camponotus","s:Camponotus modoc",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Camponotus","s:Camponotus vicinus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Formica","s:Formica argentea",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Formica","s:Formica neorufibarbis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Formica","s:Formica planipilis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Lasius","s:Lasius niger",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Myrmica","s:Myrmica cf fracticornis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Myrmica","s:Myrmica incompleta",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Myrmica","s:Myrmica tahoensis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Tapinoma","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Temnothorax","s:Temnothorax rugatulus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Ichneumonidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Megachilidae","g:Osmia","s:Osmia californica",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Megachilidae","g:Osmia","s:Osmia densa",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Siricidae","g:Sirex","s:Sirex varipes",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Xyelidae","g:Xyela","s:Xyela pini",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Crambidae","g:Crambus","s:Crambus agitatellus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Crambidae","g:Elophila","s:Elophila obliteralis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Crambidae","g:Udea","s:Udea rubigalis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Erebidae","g:Hypena","s:Hypena scabra",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Erebidae","g:Hyphantria","s:Hyphantria cunea",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Erebidae","g:Idia","s:Idia concisa",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Erebidae","g:Pelosia","s:Pelosia muscerda",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Gelechiidae","g:Bryotropha","s:Bryotropha similis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Gelechiidae","g:Caryocolum","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Geometridae","g:Androchela","s:Androchela fucosa",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Geometridae","g:Comibaena","s:Comibaena bajularia",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Geometridae","g:Enypia","s:Enypia packardata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Geometridae","g:Haematopis","s:Haematopis grataria",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Geometridae","g:Stenoporpia","s:Stenoporpia pulmonaria",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Hesperiidae","g:Astraptes","s:Astraptes favilla",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Agrotis","s:Agrotis ipsilon",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Caradrina","s:Caradrina meralis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Dichagyris","s:Dichagyris variabilis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","s:Euxoa brevipennis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","s:Euxoa infracta",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","s:Euxoa lillooet",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","s:Euxoa messoria",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","s:Euxoa satis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Platypolia","s:Platypolia loda",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Pleromelloida","s:Pleromelloida cinerea",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Protorthodes","s:Protorthodes curtica",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Spaelotis","s:Spaelotis clandestina",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Oecophoridae","g:Oecophora","s:Oecophora bractella",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Pyralidae","g:Dioryctria","s:Dioryctria albovittella",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Pyralidae","g:Dioryctria","s:Dioryctria auranticella",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Pyralidae","g:Sarata","s:Sarata pullatella",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Sesiidae","g:Synanthedon","s:Synanthedon sequoiae",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Tortricidae","g:Choristoneura","s:Choristoneura rosaceana",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Tortricidae","g:Zeiraphera","s:Zeiraphera cf pacifica",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Mantodea","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Megaloptera","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Neuroptera","f:Chrysopidae","g:Chrysopa","s:Chrysopa oculata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Neuroptera","f:Mantispidae","g:Dicromantispa","s:Dicromantispa sayi",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Orthoptera","f:Acrididae","g:Melanoplus","s:Melanoplus packardii",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Orthoptera","f:Prophalangopsidae","g:Cyphoderris","s:Cyphoderris buckelli",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Orthoptera","f:Tettigoniidae","g:Scudderia","s:Scudderia curvicauda",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Orthoptera","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Plecoptera","f:Perlodidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Plecoptera","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Psocodea","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Raphidioptera","f:Inocelliidae","g:Negha","s:Negha longicornis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Siphonaptera","f:Ceratophyllidae","g:Ceratophyllus","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Siphonaptera","f:Ceratophyllidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Siphonaptera","f:Ceratophyllus","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Trichoptera","f:Hydroptilidae","g:Orthotrichia","s:Orthotrichia aegerfasciella",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Trichoptera","f:Leptoceridae","g:Ceraclea","s:Ceraclea maculata",1
"k:Animalia","p:Arthropoda","c:Malacostraca","o:Cumacea","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Actinopterygii","o:Characiformes","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Actinopterygii","o:Labriformes","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Actinopterygii","o:Pleuronectiformes","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Actinopterygii","o:Trachiniformes","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Aves","o:Passeriformes","f:Rhinocryptidae","g:Pteroptochos","s:Pteroptochos tarnii",1
"k:Animalia","p:Chordata","c:Aves","o:Piciformes","f:Picidae","g:Picoides","s:Picoides albolarvatus",1
"k:Animalia","p:Chordata","c:Aves","o:Piciformes","f:Picidae","g:Picoides","s:Picoides villosus",1
"k:Animalia","p:Chordata","c:Elasmobranchii","o:Squaliformes","N/A","N/A","N/A",1
"k:Animalia","p:Chordata","c:Mammalia","o:Artiodactyla","f:Cervidae","g:Cervus","s:Cervus canadensis",1
